event_id,round_number,heat_id,heat_number,athlete_id,singlet,name,score,waves,tour_code,event_window,event_name,event_location,event_url
4454,1,100426,1,3962,red,B. Mamiya,11.33,6.00 + 5.33,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100426,1,4491,blue,I. deVault,14.50,7.33 + 7.17,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100426,1,10786,white,E. Hanneman,12.03,6.23 + 5.80,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100427,2,3442,red,J. Robinson,14.66,7.83 + 6.83,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100427,2,1085,blue,G. Medina,15.00,8.50 + 6.50,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100427,2,2760,white,D. Silva,12.83,7.50 + 5.33,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100428,3,3122,red,J. Marshall,11.53,6.53 + 5.00,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100428,3,1349,blue,R. Boukhiam,13.26,6.83 + 6.43,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100428,3,553,white,K. Slater,9.77,5.07 + 4.70,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100429,4,199,red,J. Florence,6.83,5.63 + 1.20,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100429,4,2618,blue,I. Gentil,8.87,5.10 + 3.77,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100429,4,10776,white,G. Pittar,11.57,6.00 + 5.57,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100430,5,4133,red,E. Ewing,17.00,9.50 + 7.50,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100430,5,8905,blue,K. Matson,15.00,8.50 + 6.50,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100430,5,4336,white,R. Heazlewood,12.30,6.17 + 6.13,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100431,6,3165,yellow,G. Colapinto,12.20,6.60 + 5.60,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100431,6,3955,blue,S. Moniz,12.70,7.17 + 5.53,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100431,6,17329,white,O. North,6.86,3.93 + 2.93,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100432,7,3896,red,K. Igarashi,15.07,7.57 + 7.50,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100432,7,1737,blue,I. Ferreira,17.00,8.50 + 8.50,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100432,7,9654,white,C. Robson,14.57,8.07 + 6.50,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100433,8,7012,red,C. Houshmand,12.73,7.40 + 5.33,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100433,8,1760,blue,R. Callinan,14.33,7.50 + 6.83,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100433,8,1291,white,C. Ibelli,14.93,8.00 + 6.93,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100434,9,9853,red,C. Colapinto,14.50,7.83 + 6.67,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100434,9,3994,blue,Y. Dora,12.47,6.47 + 6.00,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100434,9,1343,white,F. Morais,15.37,8.07 + 7.30,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100435,10,564,red,J. Smith,15.23,8.90 + 6.33,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100435,10,3737,blue,M. McGillivray,15.10,7.80 + 7.30,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100435,10,3047,white,J. Willcox,16.17,8.57 + 7.60,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100436,11,9112,red,R. Waida,12.56,6.33 + 6.23,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100436,11,2838,blue,C. O'Leary,12.83,7.43 + 5.40,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100436,11,8784,white,S. Pupo,14.56,7.33 + 7.23,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100437,12,6963,red,L. O'Brien,16.36,8.33 + 8.03,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100437,12,2656,blue,L. Fioravanti,16.57,8.57 + 8.00,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,1,100437,12,688,white,M. Pupo,15.37,8.07 + 7.30,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,2,100496,1,199,red,J. Florence,11.37,5.70 + 5.67,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,2,100496,1,9654,blue,C. Robson,12.84,6.67 + 6.17,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,2,100496,1,17329,white,O. North,10.73,5.43 + 5.30,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,2,100497,2,3962,red,B. Mamiya,11.43,6.00 + 5.43,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,2,100497,2,688,blue,M. Pupo,12.63,6.63 + 6.00,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,2,100497,2,4336,white,R. Heazlewood,14.93,8.00 + 6.93,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,2,100498,3,7012,red,C. Houshmand,13.10,6.60 + 6.50,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,2,100498,3,3994,blue,Y. Dora,10.20,5.53 + 4.67,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,2,100498,3,553,white,K. Slater,12.50,7.17 + 5.33,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,2,100499,4,9112,red,R. Waida,7.13,4.13 + 3.00,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,2,100499,4,3737,blue,M. McGillivray,14.00,7.50 + 6.50,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,2,100499,4,2760,white,D. Silva,12.54,6.37 + 6.17,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4454,7,100530,1,199,red,J. Florence,16.04,0,MCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
