event_id,round_number,heat_id,heat_number,athlete_id,singlet,name,score,waves,tour_code,event_window,event_name,event_location,event_url
4456,1,100867,1,4133,red,E. Ewing,13.23,6.63 + 6.60,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100867,1,3955,blue,S. Moniz,12.33,6.83 + 5.50,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100867,1,2838,white,C. O'Leary,7.66,4.33 + 3.33,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100868,2,199,red,J. Florence,13.77,7.67 + 6.10,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100868,2,9112,blue,R. Waida,9.60,4.93 + 4.67,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100868,2,3994,white,Y. Dora,7.80,3.97 + 3.83,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100869,3,3442,red,J. Robinson,11.24,6.67 + 4.57,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100869,3,1349,blue,R. Boukhiam,12.83,8.33 + 4.50,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100869,3,553,white,K. Slater,14.50,7.67 + 6.83,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100870,4,3165,yellow,G. Colapinto,11.47,5.77 + 5.70,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100870,4,1737,blue,I. Ferreira,13.30,6.83 + 6.47,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100870,4,3616,white,M. Braye,11.66,5.83 + 5.83,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100871,5,564,red,J. Smith,12.77,7.17 + 5.60,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100871,5,9853,blue,C. Colapinto,10.56,5.93 + 4.63,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100871,5,3737,white,M. McGillivray,11.43,6.00 + 5.43,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100872,6,3122,red,J. Marshall,2.20,1.20 + 1.00,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100872,6,4491,blue,I. deVault,6.80,5.00 + 1.80,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100872,6,1085,white,G. Medina,11.90,6.33 + 5.57,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100873,7,3962,red,B. Mamiya,9.90,5.17 + 4.73,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100873,7,6963,blue,L. O'Brien,11.60,6.67 + 4.93,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100873,7,1760,white,R. Callinan,15.60,9.10 + 6.50,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100874,8,7012,red,C. Houshmand,11.70,6.50 + 5.20,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100874,8,3896,blue,K. Igarashi,13.10,8.17 + 4.93,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,1,100874,8,2656,white,L. Fioravanti,5.14,3.97 + 1.17,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
4456,2,100875,1,3165,yellow,G. Colapinto,14.57,7.50 + 7.07,MCT,May 22 - 31,SHISEIDO Tahiti Pro,"Teahupoʻo, Tahiti, French Polynesia",https://www.worldsurfleague.com/events/2024/ct/201/shiseido-tahiti-pro/results
