event_id,round_number,heat_id,heat_number,athlete_id,singlet,name,score,waves
4446,4,98926,6,9853,blue,C. Colapinto,8.83,0
4446,4,98926,6,4491,white,I. deVault,12.67,0
4446,4,98927,7,199,red,J. Florence,11.83,0
4446,4,98927,7,9654,white,C. Robson,5.00,0
4446,4,98928,8,3737,blue,M. McGillivray,5.93,0
4446,4,98928,8,2656,white,L. Fioravanti,11.90,0
4446,5,98931,3,2618,red,I. Gentil,12.00,0
4446,5,98931,3,4491,blue,I. deVault,7.67,0
4446,5,98932,4,199,red,J. Florence,13.67,0
4446,5,98932,4,2656,blue,L. Fioravanti,10.33,0
4446,6,98934,2,2618,red,I. Gentil,7.16,0
4446,6,98934,2,199,blue,J. Florence,16.10,0
