event_id,round_number,heat_id,heat_number,athlete_id,singlet,name,score,waves,tour_code,event_window,event_name,event_location,event_url
4453,1,100224,1,1739,red,J. Defay,8.20,4.33 + 3.87,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100224,1,9984,blue,L. Silva,12.33,6.50 + 5.83,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100224,1,9137,white,A. Spencer,7.07,4.07 + 3.00,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100225,2,4688,red,C. Marks,13.17,6.67 + 6.50,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100225,2,7854,blue,G. Bryan,12.43,7.33 + 5.10,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100225,2,5181,white,S. McCulloch,8.73,4.40 + 4.33,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100226,3,10979,yellow,M. Picklum,9.33,4.83 + 4.50,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100226,3,4307,blue,I. Nichols,10.27,6.50 + 3.77,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100226,3,12903,white,E. Harrison,10.74,5.67 + 5.07,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100227,4,13369,red,C. Simmers,9.57,5.50 + 4.07,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100227,4,3971,blue,B. Hennessy,12.50,7.17 + 5.33,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100227,4,14425,white,S. Lindblad,12.10,6.17 + 5.93,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100228,5,14286,red,B. Johnson,10.67,5.37 + 5.30,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100228,5,2156,blue,L. Peterson,10.17,6.00 + 4.17,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100228,5,9481,white,I. Robinson,9.00,5.67 + 3.33,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100229,6,1433,red,T. Wright,15.17,8.00 + 7.17,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100229,6,2026,blue,T. Weston-Webb,13.00,7.00 + 6.00,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,1,100229,6,321,white,S. Fitzgibbons,13.60,8.43 + 5.17,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
4453,2,100230,1,10979,yellow,M. Picklum,11.50,6.17 + 5.33,WCT,Mar 26 - Apr 5,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia",https://www.worldsurfleague.com/events/2024/ct/199/rip-curl-pro-bells-beach/results
