event_id,round_number,heat_id,heat_number,athlete_id,singlet,name,score,waves,tour_code,event_window,event_name,event_location,event_url
4455,1,100473,1,10979,red,M. Picklum,11.33,6.50 + 4.83,WCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4455,1,100473,1,9984,blue,L. Silva,8.67,4.50 + 4.17,WCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4455,1,100473,1,9137,white,A. Spencer,10.66,6.33 + 4.33,WCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4455,1,100474,2,1739,red,J. Defay,9.57,5.00 + 4.57,WCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4455,1,100474,2,2156,blue,L. Peterson,10.73,6.00 + 4.73,WCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4455,1,100474,2,5181,white,S. McCulloch,9.60,5.67 + 3.93,WCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4455,1,100475,3,13369,yellow,C. Simmers,11.57,6.00 + 5.57,WCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4455,1,100475,3,14425,blue,S. Lindblad,11.00,7.00 + 4.00,WCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4455,1,100475,3,1619,white,B. Macaulay,10.96,6.73 + 4.23,WCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4455,1,100476,4,4688,red,C. Marks,10.67,5.87 + 4.80,WCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4455,1,100476,4,7854,blue,G. Bryan,10.90,5.63 + 5.27,WCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
4455,1,100476,4,9481,white,I. Robinson,10.37,6.17 + 4.20,WCT,Apr 11 - 21,Western Australia Margaret River Pro,"Margaret River, Western Australia, Australia",https://www.worldsurfleague.com/events/2024/ct/200/western-australia-margaret-river-pro/results
